Parameter,Value,TbH,TbV
Salinity_SP,0.0,234.97615531322555,256.39227878302455
Salinity_SP,0.15,234.97615531322555,256.39227878302455
Salinity_SP,0.3,234.97615531322555,256.39227878302455
Salinity_SP,0.44999999999999996,234.97615531322555,256.39227878302455
Salinity_SP,0.6,234.97615531322555,256.39227878302455
Salinity_SP,0.75,234.97615531322555,256.39227878302455
Salinity_SP,0.8999999999999999,234.97615531322555,256.39227878302455
Salinity_SP,1.05,234.97615531322555,256.39227878302455
Salinity_SP,1.2,234.97615531322555,256.39227878302455
Salinity_SP,1.3499999999999999,234.97615531322555,256.39227878302455
Salinity_SP,1.5,234.97615531322555,256.39227878302455
Salinity_SP,1.65,234.97615531322555,256.39227878302455
Salinity_SP,1.7999999999999998,234.97615531322555,256.39227878302455
Salinity_SP,1.95,234.97615531322555,256.39227878302455
Salinity_SP,2.1,234.97615531322555,256.39227878302455
Salinity_SP,2.25,234.97615531322555,256.39227878302455
Salinity_SP,2.4,234.97615531322555,256.39227878302455
Salinity_SP,2.55,234.97615531322555,256.39227878302455
Salinity_SP,2.6999999999999997,234.97615531322532,256.39227878302455
Salinity_SP,2.85,234.97615531322555,256.39227878302455
Salinity_SP,3.0,234.97615531322555,256.39227878302455
