Parameter,Value,TbH,TbV
Radius_DH,5e-05,243.32662319980219,266.3466620190684
Radius_DH,7.25e-05,243.24406231359913,266.23630877998636
Radius_DH,9.5e-05,243.0981962842833,266.0419047029473
Radius_DH,0.00011749999999999998,242.87754476601782,265.7498793134598
Radius_DH,0.00014,242.57458481817102,265.3534296100799
Radius_DH,0.0001625,242.18556836590074,264.8518849848105
Radius_DH,0.00018499999999999997,241.71058760784473,264.2498472433917
Radius_DH,0.00020749999999999998,241.15369085577294,263.5562433377776
Radius_DH,0.00022999999999999998,240.52273167559486,262.78330128120626
Radius_DH,0.0002525,239.8287729707152,261.94545113901097
Radius_DH,0.000275,239.08509730603902,261.0582077991262
Radius_DH,0.0002975,238.30603144703747,260.13713483742765
Radius_DH,0.00031999999999999997,237.50582125473602,259.19698616921863
Radius_DH,0.0003425,236.69772814276496,258.251084287084
Radius_DH,0.000365,235.893422797304,257.3109460568948
Radius_DH,0.0003875,235.10267128045683,256.3861287614639
Radius_DH,0.00041,234.33326067845599,255.4842478984352
Radius_DH,0.0004325,233.5910941210584,254.61111279401555
Radius_DH,0.000455,232.88038814715122,253.7709311675151
Radius_DH,0.0004775,232.2039185726588,252.96654393782933
Radius_DH,0.0005,231.5632767577342,252.19966280273786
