Parameter,Value,TbH,TbV
Fraction_volume_water_DH,0.0,223.66949914408266,260.9928243838395
Fraction_volume_water_DH,0.01,226.56767525424505,261.8337541007315
Fraction_volume_water_DH,0.02,229.2913369552913,262.61214556279214
Fraction_volume_water_DH,0.03,231.85257635048373,263.33137855199203
Fraction_volume_water_DH,0.04,234.25888452707977,264.02850004268697
Fraction_volume_water_DH,0.05,236.50616594060165,264.6908765300044
Fraction_volume_water_DH,0.06,238.5953872322821,265.3380164806861
Fraction_volume_water_DH,0.07,240.515986634031,265.95783954692166
Fraction_volume_water_DH,0.08,242.26890059889715,266.56634315043806
Fraction_volume_water_DH,0.09,243.8385736165959,267.12081912261414
Fraction_volume_water_DH,0.1,245.23405391350602,267.63998597266243
Fraction_volume_water_DH,0.11,246.45060429308228,268.1193179548986
Fraction_volume_water_DH,0.12,247.50574764272304,268.5581542832058
Fraction_volume_water_DH,0.13,248.40489766166007,268.9585363814933
Fraction_volume_water_DH,0.14,249.15525080619142,269.32356290929283
Fraction_volume_water_DH,0.15,249.77160759135742,269.6462259977759
Fraction_volume_water_DH,0.16,250.26594022739906,269.931893323611
Fraction_volume_water_DH,0.17,250.64812150104112,270.18409182943
Fraction_volume_water_DH,0.18,250.93594768969288,270.40194073648536
Fraction_volume_water_DH,0.19,251.1400540938978,270.58963368768997
Fraction_volume_water_DH,0.2,251.2687830801861,270.7505730349856
