Parameter,Value,TbH,TbV
Salinity_SP,0.0,238.21790956118312,260.03335806474956
Salinity_SP,0.5,238.21790956118252,260.0333580647491
Salinity_SP,1.0,238.21790956118252,260.0333580647491
Salinity_SP,1.5,238.21790956118255,260.0333580647493
Salinity_SP,2.0,238.21790956118252,260.0333580647491
Salinity_SP,2.5,238.21790956118252,260.0333580647491
Salinity_SP,3.0,238.21790956118312,260.03335806474956
Salinity_SP,3.5,238.21790956118312,260.03335806474956
Salinity_SP,4.0,238.21790956118252,260.0333580647491
Salinity_SP,4.5,238.21790956118252,260.0333580647491
Salinity_SP,5.0,238.21790956118252,260.0333580647491
Salinity_SP,5.5,238.21790956118312,260.03335806474956
Salinity_SP,6.0,238.21790956118255,260.0333580647493
Salinity_SP,6.5,238.21790956118312,260.03335806474956
Salinity_SP,7.0,238.21790956118252,260.0333580647491
Salinity_SP,7.5,238.21790956118312,260.03335806474956
Salinity_SP,8.0,238.21790956118255,260.0333580647493
Salinity_SP,8.5,238.21790956118312,260.03335806474956
Salinity_SP,9.0,238.21790956118252,260.0333580647491
Salinity_SP,9.5,238.21790956118312,260.03335806474956
Salinity_SP,10.0,238.21790956118252,260.0333580647491
