 P(0,mb), T(0,K)Hr(0,%), freq(Hz), grad(K/km), theta(deg), TbUp(k), TbDown(K), tau(neper)
 $
 1013.00 273.15 70.00  0.1870E+11  6.50 59.00 12.93 15.51 0.5187E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 60.00 13.31 15.88 0.5343E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 61.00 13.71 16.28 0.5509E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 62.00 14.14 16.71 0.5689E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 63.00 14.61 17.18 0.5882E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 64.00 15.11 17.67 0.6090E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 65.00 15.66 18.21 0.6316E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 66.00 16.24 18.80 0.6562E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 67.00 16.88 19.43 0.6829E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 68.00 17.58 20.12 0.7121E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 69.00 18.34 20.88 0.7441E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 70.00 19.18 21.71 0.7794E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 71.00 20.10 22.63 0.8185E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 72.00 21.12 23.64 0.8619E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 73.00 22.26 24.77 0.9105E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 74.00 23.53 26.03 0.9651E-01
 1013.00 273.15 70.00  0.1870E+11  6.50 75.00 24.96 27.46 0.1027E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 76.00 26.58 29.07 0.1098E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 77.00 28.44 30.92 0.1179E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 78.00 30.58 33.06 0.1274E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 79.00 33.08 35.54 0.1385E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 80.00 36.02 38.48 0.1519E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 81.00 39.54 41.99 0.1680E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 82.00 43.82 46.27 0.1880E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 83.00 49.11 51.57 0.2133E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 84.00 55.82 58.29 0.2464E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 85.00 64.55 67.08 0.2911E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 86.00 76.29 78.95 0.3547E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 87.00 92.68 95.64 0.4509E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 88.00 ***** ***** 0.6098E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 89.00 ***** ***** 0.9053E+00
 1013.00 273.15 70.00  0.1870E+11  6.50 90.00 ***** ***** 0.1392E+01
