 P(0,mb), T(0,K) Hr(0,%), freq(Hz), grad(K/km), theta(deg), TbUp(k), TbDown(K), tau(neper)
 $
 1013.00 271.25 70.00  0.3653E+11  6.50  0.00 14.57 17.14 0.5972E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  1.00 14.57 17.14 0.5973E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  2.00 14.58 17.14 0.5976E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  3.00 14.59 17.16 0.5981E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  4.00 14.60 17.17 0.5987E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  5.00 14.62 17.19 0.5995E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  6.00 14.65 17.21 0.6005E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  7.00 14.67 17.24 0.6017E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  8.00 14.71 17.27 0.6031E-01
 1013.00 271.25 70.00  0.3653E+11  6.50  9.00 14.74 17.31 0.6047E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 10.00 14.79 17.35 0.6064E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 11.00 14.83 17.40 0.6084E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 12.00 14.88 17.45 0.6106E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 13.00 14.94 17.50 0.6129E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 14.00 15.00 17.56 0.6155E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 15.00 15.07 17.63 0.6183E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 16.00 15.14 17.70 0.6213E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 17.00 15.21 17.78 0.6245E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 18.00 15.29 17.86 0.6279E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 19.00 15.38 17.94 0.6316E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 20.00 15.47 18.03 0.6355E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 21.00 15.57 18.13 0.6397E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 22.00 15.67 18.23 0.6441E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 23.00 15.78 18.34 0.6487E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 24.00 15.90 18.46 0.6537E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 25.00 16.02 18.58 0.6589E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 26.00 16.15 18.71 0.6644E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 27.00 16.29 18.84 0.6702E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 28.00 16.43 18.99 0.6763E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 29.00 16.58 19.14 0.6827E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 30.00 16.74 19.29 0.6895E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 31.00 16.91 19.46 0.6966E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 32.00 17.08 19.63 0.7041E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 33.00 17.27 19.81 0.7120E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 34.00 17.46 20.01 0.7202E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 35.00 17.66 20.21 0.7289E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 36.00 17.88 20.42 0.7380E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 37.00 18.10 20.64 0.7476E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 38.00 18.33 20.87 0.7577E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 39.00 18.58 21.12 0.7682E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 40.00 18.84 21.37 0.7793E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 41.00 19.11 21.64 0.7910E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 42.00 19.39 21.93 0.8033E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 43.00 19.69 22.22 0.8162E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 44.00 20.01 22.54 0.8298E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 45.00 20.34 22.87 0.8442E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 46.00 20.68 23.21 0.8593E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 47.00 21.05 23.58 0.8752E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 48.00 21.44 23.96 0.8920E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 49.00 21.84 24.36 0.9097E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 50.00 22.27 24.79 0.9284E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 51.00 22.73 25.24 0.9482E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 52.00 23.20 25.72 0.9692E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 53.00 23.71 26.22 0.9915E-01
 1013.00 271.25 70.00  0.3653E+11  6.50 54.00 24.24 26.75 0.1015E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 55.00 24.81 27.32 0.1040E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 56.00 25.41 27.92 0.1067E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 57.00 26.05 28.55 0.1095E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 58.00 26.73 29.23 0.1125E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 59.00 27.46 29.95 0.1158E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 60.00 28.23 30.72 0.1193E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 61.00 29.06 31.55 0.1230E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 62.00 29.94 32.43 0.1270E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 63.00 30.89 33.37 0.1313E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 64.00 31.91 34.39 0.1359E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 65.00 33.01 35.49 0.1410E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 66.00 34.20 36.67 0.1464E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 67.00 35.49 37.96 0.1524E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 68.00 36.88 39.35 0.1589E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 69.00 38.41 40.87 0.1661E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 70.00 40.07 42.53 0.1739E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 71.00 41.89 44.36 0.1826E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 72.00 43.90 46.37 0.1923E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 73.00 46.12 48.59 0.2031E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 74.00 48.60 51.07 0.2153E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 75.00 51.36 53.84 0.2291E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 76.00 54.46 56.96 0.2448E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 77.00 57.97 60.49 0.2629E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 78.00 61.98 64.52 0.2840E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 79.00 66.58 69.16 0.3087E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 80.00 71.92 74.55 0.3383E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 81.00 78.17 80.89 0.3741E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 82.00 85.59 88.43 0.4183E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 83.00 94.48 97.51 0.4742E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 84.00 ***** ***** 0.5468E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 85.00 ***** ***** 0.6446E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 86.00 ***** ***** 0.7824E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 87.00 ***** ***** 0.9884E+00
 1013.00 271.25 70.00  0.3653E+11  6.50 88.00 ***** ***** 0.1321E+01
 1013.00 271.25 70.00  0.3653E+11  6.50 89.00 ***** ***** 0.1916E+01
 1013.00 271.25 70.00  0.3653E+11  6.50 90.00 ***** ***** 0.2843E+01
