Parameter,Value,TbH,TbV
Thickness_SI,0.0,204.93745939104636,261.30128330032034
Thickness_SI,0.02,244.08228734803035,262.86861400558774
Thickness_SI,0.04,244.21394174954554,262.1914874341593
Thickness_SI,0.06,244.28664885182573,261.75509756049496
Thickness_SI,0.08,244.34288436273062,261.4911112021013
Thickness_SI,0.1,244.39603968134813,261.3433647984369
Thickness_SI,0.12,244.44918558632784,261.27095648794375
Thickness_SI,0.14,244.50184864005266,261.2455610461232
Thickness_SI,0.16,244.55265612613942,261.24816426968033
Thickness_SI,0.18,244.60032899548463,261.26632462325716
Thickness_SI,0.2,244.64398565256508,261.2921111736325
Thickness_SI,0.22,244.68316603850238,261.3206245600842
Thickness_SI,0.24,244.71775579341858,261.3489653879435
Thickness_SI,0.26,244.74788820633734,261.37552841733833
Thickness_SI,0.28,244.77385499685542,261.3995271018116
Thickness_SI,0.3,244.79603577875545,261.4206778745132
Thickness_SI,0.32,244.8148468879787,261.43899362196
Thickness_SI,0.34,244.83070676874655,261.45465087568715
Thickness_SI,0.36,244.84401422290478,261.4679062016885
Thickness_SI,0.38,244.8551360439889,261.47904503242694
Thickness_SI,0.4,244.86440116080752,261.4883516083924
