Parameter,Value,TbH,TbV
Fraction_volume_water_DH,0.0,230.7375755172072,247.2093456877752
Fraction_volume_water_DH,0.002,232.01401321078146,248.31421768759685
Fraction_volume_water_DH,0.004,233.1887800187224,249.31624379369407
Fraction_volume_water_DH,0.006,234.2731340846423,250.23001782747485
Fraction_volume_water_DH,0.008,235.2784291916491,251.0689731384016
Fraction_volume_water_DH,0.01,236.2139846621347,251.84364150309332
Fraction_volume_water_DH,0.012,237.0872795101457,252.56218156142754
Fraction_volume_water_DH,0.014,237.90437102300857,253.23100339725752
Fraction_volume_water_DH,0.016,238.67025943293828,253.85525865352525
Fraction_volume_water_DH,0.018000000000000002,239.3891832552301,254.43921649564783
Fraction_volume_water_DH,0.02,240.0648706561203,254.98657146167156
Fraction_volume_water_DH,0.022,240.70076007335356,255.5007053377139
Fraction_volume_water_DH,0.024,241.30015858355753,255.9848689185704
Fraction_volume_water_DH,0.026000000000000002,241.866261808353,256.442197924511
Fraction_volume_water_DH,0.028,242.40200907907382,256.8755389409077
Fraction_volume_water_DH,0.03,243.11989521512584,257.57317400567337
Fraction_volume_water_DH,0.032,243.610064399834,257.9767678483717
Fraction_volume_water_DH,0.034,244.07406776756517,258.3584493794091
Fraction_volume_water_DH,0.036000000000000004,244.51316860871313,258.719826195271
Fraction_volume_water_DH,0.038,244.92873420963173,259.0622524189993
Fraction_volume_water_DH,0.04,245.3220985655054,259.3869606429951
